DT,distance(Km),heart,pace,start_lat,start_lng
2021-08-29 19:07:02,3.73,120,6:19,31.905511,118.806544
2021-09-03 19:13:16,3.28,120,4:44,31.905026,118.805855
2021-09-04 19:09:22,1.90,120,8:25,,
2021-09-10 19:53:34,5.96,120,5:54,31.904969,118.805734
2021-09-13 19:09:35,4.02,120,4:39,31.904983,118.805739
2021-09-15 19:21:04,3.50,120,6:55,31.905356,118.806129
2021-09-18 19:33:53,1.73,120,4:55,31.905511,118.806374
2021-09-19 17:15:36,1.33,120,5:52,34.831827,119.167004
2021-09-24 19:37:22,4.12,120,11:20,31.904934,118.805245
2021-09-25 18:57:36,3.39,120,4:05,31.905227,118.805972
2021-09-28 19:55:22,3.44,120,4:58,31.904928,118.805248
2021-10-02 19:41:01,3.59,120,6:37,31.90526,118.806067
2021-10-03 19:46:25,3.00,120,6:40,,
2021-10-11 20:47:47,3.20,120,8:26,,
2021-10-18 18:50:00,4.00,120,7:30,,
2021-10-22 19:28:37,4.43,120,4:47,31.90492434427142,118.80573065020144
2021-10-27 19:10:31,6.34,120,1:33,31.945126382634044,118.77915054559708
2021-11-02 18:26:39,1.70,120,5:53,,
2021-11-06 15:10:00,2.60,120,7:42,,
2021-11-09 20:20:00,2.00,120,480:00,,
2021-11-12 19:30:00,1.80,120,6:40,,
2021-11-22 17:30:49,3.00,120,8:40,,
2021-11-30 17:20:00,3.00,120,6:40,,
2021-12-01 20:20:00,3.00,120,7:40,,
2021-12-05 15:40:00,2.23,120,538:07,,
2021-12-06 17:30:00,2.50,120,8:48,,
2021-12-09 17:17:15,2.60,120,8:51,,
2021-12-11 19:30:00,2.50,120,8:48,,
2021-12-18 16:30:00,2.50,120,8:48,,
2021-12-19 15:52:03,2.30,120,10:01,,
2021-12-21 17:20:06,2.80,120,9:17,,
2021-12-25 16:43:13,2.70,120,7:24,,
2022-01-02 14:25:44,4.18,120,4:14,31.896209931001067,118.80979327484965
2022-01-03 15:13:17,2.84,120,2:37,31.896127117797732,118.80960501730442
2022-01-08 16:13:33,2.70,120,7:47,,
2022-01-12 17:24:12,2.50,120,8:24,,
2022-01-14 17:56:17,3.30,120,8:29,,
